,customer_id,annual_income,vehicle_make,vehicle_model,vehicle_year,loan_amount,initial_apr,current_apr,loan_term_months,autopay_enrolled,num_successful_payments,credit_score,loan_start_date,loan_end_date,loan_status,target
88,CUST00000089,25138.14,Chevrolet,Corvette,2022,5618.56,17.83,19.21,48,False,27,492,2023-04-04,2027-03-14,Default,1
90,CUST00000091,119012.38,Chevrolet,Camaro,2022,52829.87,17.12,17.84,84,True,18,551,2022-08-13,2029-07-07,Default,1
94,CUST00000095,67150.07,GMC,Acadia,2022,66745.3,9.22,10.91,60,False,28,656,2025-03-05,2030-02-07,Default,1
100,CUST00000101,106203.89,GMC,Yukon,2024,71692.78,8.43,10.86,72,True,39,688,2024-05-21,2030-04-20,Paid Off,0
103,CUST00000104,65538.89,GMC,Yukon XL,2022,35917.0,17.46,17.45,60,True,16,571,2025-03-12,2030-02-14,Default,1
105,CUST00000106,69188.62,GMC,Sierra 1500,2024,27596.33,17.14,16.31,72,False,22,476,2022-05-31,2028-04-29,Default,1
113,CUST00000114,79806.6,Chevrolet,Silverado 1500,2024,22061.74,14.21,15.71,36,False,19,409,2022-10-25,2025-10-09,Paid Off,0
128,CUST00000129,59477.08,GMC,Terrain,2025,66453.33,4.96,6.66,48,True,45,721,2022-11-07,2026-10-17,Paid Off,0
129,CUST00000130,80907.42,GMC,Yukon,2024,76453.96,2.98,2.78,60,True,47,814,2025-02-22,2030-01-27,Default,1
140,CUST00000141,29215.75,Chevrolet,Impala,2023,11232.62,16.05,15.93,24,True,15,581,2022-04-26,2024-04-15,Paid Off,0
141,CUST00000142,100920.57,GMC,Canyon,2025,62257.72,3.86,5.02,60,False,40,760,2025-08-20,2030-07-25,Default,1
148,CUST00000149,30411.13,Chevrolet,Malibu,2022,6575.18,15.53,17.76,24,True,8,331,2022-12-31,2024-12-20,Paid Off,0
158,CUST00000159,50642.96,Chevrolet,Trax,2024,11875.92,14.42,15.62,36,True,19,545,2022-09-07,2025-08-22,Paid Off,0
160,CUST00000161,119431.71,Chevrolet,Bolt EV,2024,76778.69,4.34,4.27,48,True,43,756,2024-06-16,2028-05-26,Paid Off,0
162,CUST00000163,27282.26,Chevrolet,Equinox,2025,7500.26,14.5,14.76,24,False,11,360,2022-04-14,2024-04-03,Paid Off,0
163,CUST00000164,97910.53,Cadillac,CT5,2025,37498.67,13.68,16.17,24,True,18,602,2022-10-29,2024-10-18,Paid Off,0
167,CUST00000168,30038.55,Buick,Envision,2025,10856.23,14.61,17.24,84,False,19,455,2023-12-14,2030-11-07,Paid Off,0
168,CUST00000169,37092.25,Chevrolet,Suburban,2024,17517.85,16.08,18.19,48,True,17,501,2025-03-15,2029-02-22,Default,1
171,CUST00000172,60852.17,Buick,Enclave,2024,55076.92,7.15,6.81,36,False,34,718,2022-10-16,2025-09-30,Paid Off,0
172,CUST00000173,74078.71,Chevrolet,Silverado 3500HD,2025,40825.77,15.23,14.51,84,False,19,508,2022-08-13,2029-07-07,Default,1
174,CUST00000175,65951.43,Chevrolet,Bolt EV,2025,16144.1,17.93,18.93,36,False,18,545,2022-01-19,2025-01-03,Paid Off,0
175,CUST00000176,62117.06,Chevrolet,Silverado 1500,2022,21389.62,14.82,13.96,60,True,22,596,2023-05-13,2028-04-16,Paid Off,0
177,CUST00000178,98797.02,Cadillac,XT4,2023,42103.62,9.5,11.4,24,True,16,677,2022-05-03,2024-04-22,Paid Off,0
183,CUST00000184,69333.1,GMC,Hummer EV,2022,28827.72,8.59,7.68,72,True,43,698,2022-12-14,2028-11-12,Paid Off,0
185,CUST00000186,79688.56,GMC,Sierra 3500HD,2024,20514.49,16.24,16.76,24,True,8,519,2023-01-23,2025-01-12,Paid Off,0
188,CUST00000189,41956.14,Buick,Encore GX,2023,17826.1,17.56,18.81,36,False,25,413,2024-07-23,2027-07-08,Default,1
199,CUST00000200,105317.58,Chevrolet,Tahoe,2022,60609.85,6.98,6.93,60,False,42,713,2023-07-31,2028-07-04,Paid Off,0
211,CUST00000212,89909.8,Cadillac,CT4,2022,50743.76,17.38,19.33,24,True,15,541,2024-02-25,2026-02-14,Paid Off,0
214,CUST00000215,92836.84,Cadillac,Escalade,2025,63825.59,4.7,4.98,36,True,34,728,2025-02-16,2028-02-01,Default,1
218,CUST00000219,57617.96,Buick,Enclave,2023,43846.89,4.94,6.38,60,True,45,723,2025-07-04,2030-06-08,Default,1
220,CUST00000221,100846.81,Cadillac,CT5,2022,64510.39,9.1,10.11,24,False,18,660,2023-05-24,2025-05-13,Paid Off,0
225,CUST00000226,71929.69,Chevrolet,Silverado 2500HD,2025,78499.41,6.1,7.41,84,False,43,730,2023-03-11,2030-02-02,Default,1
234,CUST00000235,60068.51,GMC,Canyon,2023,12722.73,15.77,15.42,84,True,19,480,2023-09-24,2030-08-18,Paid Off,0
247,CUST00000248,34947.54,Buick,Encore GX,2024,21609.05,16.72,17.27,36,True,22,567,2022-07-18,2025-07-02,Paid Off,0
255,CUST00000256,85811.37,Cadillac,CT4,2024,50652.99,9.02,8.14,36,True,23,667,2022-06-25,2025-06-09,Paid Off,0
259,CUST00000260,98884.68,Cadillac,CT4,2023,53635.94,17.26,17.3,24,False,8,522,2022-03-25,2024-03-14,Paid Off,0
280,CUST00000281,84805.18,GMC,Sierra 3500HD,2023,34974.36,16.46,16.32,24,False,10,545,2022-06-11,2024-05-31,Paid Off,0
284,CUST00000285,82325.3,GMC,Yukon,2024,81677.0,4.28,6.53,24,True,23,751,2023-06-17,2025-06-06,Paid Off,0
292,CUST00000293,108681.82,Chevrolet,Silverado 1500,2025,53880.54,10.75,12.74,60,False,28,678,2023-04-26,2028-03-30,Default,1
293,CUST00000294,81185.65,Cadillac,Escalade ESV,2022,33363.68,16.31,17.39,36,True,18,598,2022-05-20,2025-05-04,Paid Off,0
302,CUST00000303,28521.01,Chevrolet,Suburban,2025,15664.68,16.97,16.51,24,False,10,500,2023-07-11,2025-06-30,Paid Off,0
306,CUST00000307,83428.91,Cadillac,Lyriq,2022,66688.48,6.92,9.87,24,True,21,702,2022-12-14,2024-12-03,Paid Off,0
313,CUST00000314,106369.3,Chevrolet,Camaro,2025,41229.03,16.77,17.29,48,True,24,559,2024-05-26,2028-05-05,Paid Off,0
316,CUST00000317,31244.23,Buick,Encore GX,2024,20795.19,13.7,15.93,84,False,39,621,2022-02-07,2029-01-01,Default,1
321,CUST00000322,62004.8,Chevrolet,Impala,2022,28438.94,17.35,16.44,24,False,7,594,2024-03-30,2026-03-20,Default,1
324,CUST00000325,77990.16,GMC,Sierra 3500HD,2025,47469.11,14.03,15.43,24,True,7,422,2023-10-12,2025-10-01,Paid Off,0
328,CUST00000329,86304.37,GMC,Sierra 3500HD,2022,84426.65,3.78,5.73,48,True,44,809,2025-02-16,2029-01-26,Paid Off,0
330,CUST00000331,89101.59,Cadillac,XT6,2023,71548.82,10.21,9.66,36,False,29,698,2024-02-19,2027-02-03,Default,1
334,CUST00000335,89818.73,GMC,Sierra 2500HD,2024,54543.37,14.31,14.89,72,False,21,550,2022-09-12,2028-08-11,Default,1
335,CUST00000336,115106.52,GMC,Canyon,2023,53971.76,16.14,17.97,36,True,12,588,2022-07-15,2025-06-29,Paid Off,0
336,CUST00000337,92190.46,Cadillac,Escalade,2023,53814.6,16.82,15.85,24,True,13,539,2022-01-23,2024-01-13,Paid Off,0
356,CUST00000357,58734.98,Buick,Envision,2023,31007.97,18.27,18.71,36,False,17,533,2023-12-07,2026-11-21,Paid Off,0
358,CUST00000359,63453.11,Chevrolet,Trailblazer,2022,25155.79,16.38,18.6,24,True,13,564,2022-01-10,2023-12-31,Paid Off,0
368,CUST00000369,87583.65,Chevrolet,Suburban,2023,56481.33,4.65,5.38,24,True,19,733,2022-03-20,2024-03-09,Paid Off,0
374,CUST00000375,97189.89,Chevrolet,Camaro,2025,49099.7,15.79,17.61,36,False,24,562,2024-07-21,2027-07-06,Default,1
377,CUST00000378,69375.15,GMC,Sierra 1500,2023,34931.37,15.24,17.63,24,True,10,512,2022-08-10,2024-07-30,Paid Off,0
383,CUST00000384,74183.47,GMC,Sierra 2500HD,2024,35651.45,18.19,18.27,84,True,20,465,2021-12-24,2028-11-17,Default,1
384,CUST00000385,37526.33,Chevrolet,Camaro,2022,14349.08,18.79,17.84,24,False,12,314,2023-01-16,2025-01-05,Paid Off,0
398,CUST00000399,33567.53,Chevrolet,Impala,2024,18782.26,15.47,16.64,24,False,8,440,2022-08-02,2024-07-22,Paid Off,0
401,CUST00000402,36939.91,Chevrolet,Bolt EV,2024,13882.99,15.09,18.02,24,True,12,366,2022-04-06,2024-03-26,Paid Off,0
404,CUST00000405,66246.11,GMC,Sierra 3500HD,2022,39528.05,15.37,14.86,24,True,8,534,2023-11-30,2025-11-19,Default,1
409,CUST00000410,108548.54,GMC,Yukon,2023,42338.25,7.42,6.56,24,True,16,662,2025-09-26,2027-09-16,Paid Off,0
411,CUST00000412,28164.12,Buick,Regal,2025,15515.32,17.76,18.12,24,False,15,411,2022-10-21,2024-10-10,Paid Off,0
412,CUST00000413,56343.5,Buick,Encore GX,2022,27425.62,16.87,16.33,24,True,11,534,2022-08-09,2024-07-29,Paid Off,0
419,CUST00000420,68906.38,Chevrolet,Blazer,2022,14429.06,18.23,19.22,24,True,12,402,2022-01-18,2024-01-08,Paid Off,0
421,CUST00000422,93395.6,Cadillac,Celestiq,2024,68015.49,2.74,4.68,24,True,20,830,2022-03-16,2024-03-05,Paid Off,0
427,CUST00000428,81115.84,Chevrolet,Equinox,2025,24390.2,16.81,18.13,24,True,14,519,2021-12-05,2023-11-25,Paid Off,0
429,CUST00000430,85232.75,Chevrolet,Equinox,2025,46111.33,13.74,13.4,84,False,32,618,2021-11-15,2028-10-09,Default,1
432,CUST00000433,36397.91,Chevrolet,Traverse,2022,19523.72,16.85,19.72,48,False,18,386,2025-03-30,2029-03-09,Default,1
443,CUST00000444,67840.71,Chevrolet,Colorado,2025,19686.49,17.05,18.24,48,False,29,508,2021-11-18,2025-10-28,Paid Off,0
444,CUST00000445,106229.48,Chevrolet,Silverado 1500,2022,45673.48,16.19,17.22,24,True,10,547,2022-04-19,2024-04-08,Paid Off,0
457,CUST00000458,41277.6,Chevrolet,Trailblazer,2022,25245.06,18.85,18.97,24,True,8,414,2023-07-31,2025-07-20,Paid Off,0
459,CUST00000460,58479.82,Chevrolet,Silverado 2500HD,2022,15467.16,15.83,18.4,24,True,16,448,2023-09-08,2025-08-28,Paid Off,0
479,CUST00000480,81481.78,Cadillac,XT5,2022,35399.35,15.85,15.17,36,False,20,574,2022-12-18,2025-12-02,Paid Off,0
483,CUST00000484,40925.09,Buick,Encore GX,2024,17006.77,17.4,19.31,24,True,10,485,2023-04-22,2025-04-11,Paid Off,0
484,CUST00000485,97563.03,GMC,Sierra 1500,2022,53056.49,4.25,5.34,36,True,28,711,2023-09-16,2026-08-31,Default,1
486,CUST00000487,59924.48,GMC,Hummer EV,2025,18265.43,16.55,18.02,24,True,7,502,2023-07-17,2025-07-06,Paid Off,0
495,CUST00000496,59705.54,Buick,Regal,2025,20192.44,18.89,20.01,36,True,21,498,2022-10-13,2025-09-27,Paid Off,0
506,CUST00000507,37717.9,Chevrolet,Silverado 2500HD,2022,11033.41,14.94,16.55,24,True,11,476,2022-11-25,2024-11-14,Paid Off,0
507,CUST00000508,115228.16,GMC,Yukon,2022,68084.62,2.71,2.77,72,True,45,763,2024-04-01,2030-03-01,Default,1
508,CUST00000509,28421.21,Chevrolet,Suburban,2024,8256.9,14.15,15.76,24,False,11,432,2023-07-26,2025-07-15,Paid Off,0
513,CUST00000514,50816.34,Chevrolet,Silverado 1500,2022,22285.91,14.85,15.63,36,True,26,621,2022-04-19,2025-04-03,Paid Off,0
520,CUST00000521,56445.0,GMC,Hummer EV,2023,52326.93,8.02,7.34,24,True,20,672,2023-01-15,2025-01-04,Paid Off,0
521,CUST00000522,26025.07,Chevrolet,Trax,2024,12503.5,17.75,18.79,84,True,25,537,2024-04-30,2031-03-25,Paid Off,0
532,CUST00000533,65538.01,Chevrolet,Bolt EV,2024,67305.37,10.29,12.82,36,False,23,674,2022-01-20,2025-01-04,Paid Off,0
534,CUST00000535,102999.15,GMC,Sierra 1500,2025,28801.87,14.62,15.46,36,True,13,546,2022-03-05,2025-02-17,Paid Off,0
540,CUST00000541,37387.43,Chevrolet,Bolt EV,2022,8003.26,15.55,16.78,24,False,15,305,2022-06-21,2024-06-10,Paid Off,0
544,CUST00000545,54954.9,Buick,Encore GX,2023,21620.99,16.07,15.89,24,True,11,496,2022-09-03,2024-08-23,Paid Off,0
559,CUST00000560,25622.54,Buick,Encore,2023,8938.37,14.3,13.44,24,True,8,487,2023-06-04,2025-05-24,Paid Off,0
572,CUST00000573,55192.91,GMC,Terrain,2022,74775.68,4.72,7.22,48,True,45,702,2022-01-13,2025-12-23,Paid Off,0
576,CUST00000577,98787.12,GMC,Acadia,2022,22939.09,16.25,17.57,60,False,23,578,2025-09-06,2030-08-11,Default,1
585,CUST00000586,48442.4,Chevrolet,Colorado,2022,22048.08,16.44,17.01,72,True,26,474,2024-05-20,2030-04-19,Default,1
591,CUST00000592,109899.69,GMC,Sierra 3500HD,2023,64369.26,4.16,6.97,36,True,34,767,2022-06-30,2025-06-14,Paid Off,0
592,CUST00000593,39786.97,Chevrolet,Bolt EV,2024,11305.72,15.2,17.08,48,True,19,413,2023-10-31,2027-10-10,Default,1
594,CUST00000595,111821.68,GMC,Canyon,2025,77435.21,4.32,6.19,24,True,19,830,2022-02-22,2024-02-12,Paid Off,0
598,CUST00000599,99018.87,Cadillac,XT4,2025,84873.13,4.65,6.87,36,True,34,780,2022-03-03,2025-02-15,Paid Off,0
610,CUST00000611,63725.69,GMC,Hummer EV,2024,49016.89,9.4,9.3,36,True,31,664,2022-07-16,2025-06-30,Paid Off,0
618,CUST00000619,33733.23,Chevrolet,Trax,2022,7184.39,15.5,15.78,24,True,11,516,2022-08-20,2024-08-09,Paid Off,0
621,CUST00000622,95925.75,Chevrolet,Traverse,2023,55878.37,14.14,15.54,60,True,19,508,2022-11-12,2027-10-17,Paid Off,0
623,CUST00000624,105427.9,Chevrolet,Colorado,2022,43503.03,10.62,13.53,84,True,33,635,2024-08-06,2031-07-01,Default,1
638,CUST00000639,25907.17,Chevrolet,Trailblazer,2022,14151.0,15.97,18.93,24,True,12,590,2022-12-27,2024-12-16,Paid Off,0
643,CUST00000644,40760.05,Chevrolet,Bolt EV,2022,14909.29,15.39,18.36,72,True,24,533,2025-01-03,2030-12-03,Paid Off,0
650,CUST00000651,83426.31,GMC,Yukon XL,2022,50290.05,16.68,16.69,24,True,10,504,2023-03-20,2025-03-09,Paid Off,0
653,CUST00000654,96697.56,GMC,Canyon,2024,89620.69,11.2,13.57,36,False,22,688,2022-04-26,2025-04-10,Paid Off,0
656,CUST00000657,32991.72,Chevrolet,Traverse,2022,15428.25,16.18,17.78,72,False,17,363,2025-01-06,2030-12-06,Paid Off,0
662,CUST00000663,94890.24,Cadillac,XT4,2022,66235.07,8.74,11.56,36,False,31,673,2021-12-16,2024-11-30,Paid Off,0
673,CUST00000674,85690.44,Chevrolet,Trailblazer,2024,45721.49,16.64,18.42,24,False,13,581,2022-12-18,2024-12-07,Paid Off,0
676,CUST00000677,45646.15,Chevrolet,Trax,2022,18892.74,17.38,19.33,60,False,15,527,2023-10-26,2028-09-29,Default,1
685,CUST00000686,110664.79,GMC,Sierra 3500HD,2022,43514.31,13.47,15.05,48,True,39,616,2024-03-22,2028-03-01,Default,1
689,CUST00000690,68578.21,Chevrolet,Equinox,2025,39386.61,16.2,17.25,84,True,24,596,2024-03-05,2031-01-28,Default,1
704,CUST00000705,48236.95,Chevrolet,Suburban,2025,14506.56,12.23,14.92,72,True,39,635,2025-06-17,2031-05-17,Default,1
716,CUST00000717,49094.31,Chevrolet,Silverado 2500HD,2022,25100.47,17.37,18.64,24,True,10,345,2022-11-24,2024-11-13,Paid Off,0
725,CUST00000726,77651.4,Buick,Encore,2024,42778.4,15.13,16.44,48,False,26,482,2025-11-05,2029-10-15,Default,1
727,CUST00000728,99295.67,GMC,Terrain,2023,83795.48,4.15,4.0,24,True,23,824,2023-04-13,2025-04-02,Paid Off,0
728,CUST00000729,26726.76,Chevrolet,Trailblazer,2025,9417.49,16.92,15.94,60,False,29,504,2023-06-18,2028-05-22,Default,1
734,CUST00000735,58880.1,Buick,Encore GX,2023,28314.01,14.11,15.45,60,False,21,484,2023-06-14,2028-05-18,Default,1
741,CUST00000742,51088.19,Buick,Regal,2024,12663.34,17.03,16.55,36,False,14,599,2025-08-11,2028-07-26,Paid Off,0
753,CUST00000754,53677.58,Chevrolet,Malibu,2023,32535.98,15.92,17.57,36,True,16,542,2022-03-03,2025-02-15,Paid Off,0
764,CUST00000765,50973.16,Chevrolet,Corvette,2023,29620.78,16.56,16.44,60,False,19,500,2022-05-04,2027-04-08,Default,1
769,CUST00000770,79450.57,Buick,Envision,2023,34620.84,15.12,15.82,72,True,19,594,2024-05-25,2030-04-24,Paid Off,0
773,CUST00000774,92340.19,Cadillac,Escalade ESV,2024,59117.79,3.1,5.6,24,True,19,837,2021-11-30,2023-11-20,Paid Off,0
775,CUST00000776,109164.7,Cadillac,XT4,2023,41919.88,10.67,13.32,36,False,23,685,2022-03-12,2025-02-24,Paid Off,0
776,CUST00000777,43589.43,Buick,Encore,2023,16245.49,15.15,16.54,72,True,32,551,2025-04-12,2031-03-12,Default,1
780,CUST00000781,111372.17,Cadillac,XT5,2024,55889.06,5.14,5.24,36,False,30,724,2021-11-25,2024-11-09,Paid Off,0
781,CUST00000782,77011.68,Chevrolet,Corvette,2025,33846.11,7.69,9.73,24,False,19,680,2023-10-16,2025-10-05,Paid Off,0
787,CUST00000788,58612.66,Chevrolet,Suburban,2025,35029.46,14.98,14.79,24,True,16,570,2022-03-17,2024-03-06,Paid Off,0
788,CUST00000789,42379.22,Chevrolet,Tahoe,2024,21340.53,16.85,17.73,24,True,12,349,2023-11-06,2025-10-26,Paid Off,0
794,CUST00000795,34131.12,Chevrolet,Silverado 2500HD,2022,8544.76,17.41,18.34,24,False,12,396,2022-09-13,2024-09-02,Paid Off,0
813,CUST00000814,31725.49,Chevrolet,Malibu,2022,19234.2,18.03,18.52,48,False,24,481,2022-03-10,2026-02-17,Default,1
818,CUST00000819,50152.88,GMC,Sierra 2500HD,2022,40913.06,6.88,7.69,84,False,42,706,2024-09-04,2031-07-30,Default,1
823,CUST00000824,72035.73,Chevrolet,Trailblazer,2023,27692.03,15.61,15.78,24,True,13,558,2025-09-11,2027-09-01,Paid Off,0
828,CUST00000829,96588.01,GMC,Sierra 2500HD,2023,78203.65,5.87,8.41,36,True,30,744,2021-12-10,2024-11-24,Paid Off,0
831,CUST00000832,113544.67,Cadillac,Escalade,2025,89215.87,4.93,6.63,84,True,39,818,2025-03-01,2032-01-24,Default,1
835,CUST00000836,38781.05,Chevrolet,Bolt EV,2023,8789.88,14.09,16.86,72,False,22,560,2021-12-28,2027-11-27,Default,1
842,CUST00000843,59980.4,GMC,Canyon,2022,37859.79,12.37,11.81,36,True,31,608,2022-03-22,2025-03-06,Paid Off,0
852,CUST00000853,67784.67,Buick,Envision,2023,30354.99,12.12,12.35,24,True,17,639,2023-05-05,2025-04-24,Paid Off,0
853,CUST00000854,112679.76,Chevrolet,Silverado 3500HD,2025,59367.27,16.98,16.62,36,True,11,542,2025-03-20,2028-03-04,Default,1
868,CUST00000869,111391.86,GMC,Canyon,2023,71909.94,3.5,5.14,60,True,46,769,2023-07-21,2028-06-24,Paid Off,0
877,CUST00000878,44507.33,Chevrolet,Colorado,2025,19219.3,15.87,18.35,72,False,25,486,2023-10-06,2029-09-04,Default,1
882,CUST00000883,84809.46,Cadillac,Lyriq,2025,20028.08,18.27,20.55,24,False,14,503,2022-10-28,2024-10-17,Paid Off,0
886,CUST00000887,76511.99,GMC,Yukon,2025,74846.45,4.44,6.74,36,True,30,720,2022-02-23,2025-02-07,Paid Off,0
888,CUST00000889,117125.67,GMC,Acadia,2022,37075.63,12.97,14.28,24,False,14,605,2022-06-01,2024-05-21,Paid Off,0
889,CUST00000890,73302.18,GMC,Hummer EV,2025,35004.47,17.78,18.82,24,True,14,569,2023-08-06,2025-07-26,Paid Off,0
904,CUST00000905,110256.51,Cadillac,XT4,2024,86336.89,8.85,9.97,48,True,41,684,2024-06-23,2028-06-02,Default,1
908,CUST00000909,29881.69,Buick,Encore GX,2022,13094.67,12.31,12.02,24,False,17,612,2023-04-03,2025-03-23,Paid Off,0
911,CUST00000912,102407.62,GMC,Canyon,2025,36576.96,14.96,14.14,36,False,16,536,2022-04-30,2025-04-14,Paid Off,0
917,CUST00000918,104265.07,Cadillac,Escalade,2022,50608.79,18.57,19.5,36,True,18,595,2022-07-06,2025-06-20,Paid Off,0
919,CUST00000920,109538.75,GMC,Yukon,2023,55530.25,5.0,7.48,36,True,35,733,2023-02-09,2026-01-24,Default,1
925,CUST00000926,91975.81,Cadillac,CT4,2025,61349.87,4.53,6.95,48,True,45,828,2022-08-04,2026-07-14,Default,1
928,CUST00000929,60493.68,Chevrolet,Tahoe,2023,30330.24,14.2,15.83,60,False,27,527,2024-02-28,2029-02-01,Default,1
930,CUST00000931,111404.4,Cadillac,XT4,2025,65015.03,15.21,15.64,36,False,23,639,2022-03-06,2025-02-18,Paid Off,0
938,CUST00000939,71807.35,GMC,Acadia,2023,29457.91,15.42,14.99,36,False,21,405,2022-10-21,2025-10-05,Paid Off,0
939,CUST00000940,97459.64,GMC,Hummer EV,2022,43411.98,12.62,14.89,48,True,32,614,2025-03-09,2029-02-16,Paid Off,0
941,CUST00000942,85642.45,GMC,Sierra 3500HD,2022,65366.7,9.99,10.23,48,False,31,653,2024-05-13,2028-04-22,Default,1
944,CUST00000945,71256.81,Chevrolet,Trax,2025,33318.79,16.8,18.8,60,False,25,433,2024-01-03,2028-12-07,Paid Off,0
947,CUST00000948,68466.58,GMC,Canyon,2023,30831.43,14.47,16.98,36,True,11,461,2022-10-08,2025-09-22,Paid Off,0
958,CUST00000959,68228.4,GMC,Sierra 2500HD,2023,22536.19,18.45,17.63,72,False,23,510,2023-01-07,2028-12-06,Paid Off,0
966,CUST00000967,118129.03,Cadillac,Escalade ESV,2023,85479.32,8.09,10.65,48,True,35,689,2023-06-16,2027-05-26,Default,1
967,CUST00000968,57985.45,GMC,Terrain,2023,36352.37,11.56,10.71,36,True,23,636,2025-05-23,2028-05-07,Paid Off,0
968,CUST00000969,89334.77,Cadillac,Lyriq,2024,39899.19,7.27,9.36,24,False,18,661,2022-07-29,2024-07-18,Paid Off,0
973,CUST00000974,97792.04,Chevrolet,Colorado,2023,81125.21,3.15,4.1,84,True,46,813,2022-11-30,2029-10-24,Paid Off,0
982,CUST00000983,115147.32,Cadillac,CT5,2025,85095.05,4.84,5.0,24,True,21,807,2022-05-08,2024-04-27,Paid Off,0
987,CUST00000988,112534.59,Cadillac,XT5,2024,79195.81,2.72,4.08,36,True,31,821,2023-01-05,2025-12-20,Paid Off,0
994,CUST00000995,97889.86,Cadillac,CT5,2024,70607.23,5.83,6.3,24,False,20,711,2023-01-03,2024-12-23,Paid Off,0
996,CUST00000997,72057.58,Chevrolet,Camaro,2025,23363.94,15.22,15.28,60,False,32,615,2023-03-01,2028-02-03,Paid Off,0
1007,CUST00001008,109775.73,Cadillac,CT4,2025,71037.1,3.59,2.64,48,True,38,807,2022-02-28,2026-02-07,Paid Off,0
1009,CUST00001010,93300.78,Chevrolet,Trax,2023,45324.63,17.54,17.66,72,False,32,518,2023-03-01,2029-01-28,Default,1
1010,CUST00001011,107736.63,Cadillac,Escalade,2023,53090.83,8.66,8.43,84,False,35,682,2023-01-21,2029-12-15,Paid Off,0
1024,CUST00001025,116255.84,Cadillac,XT6,2024,89127.9,13.91,15.75,24,True,15,638,2022-05-22,2024-05-11,Paid Off,0
1027,CUST00001028,82403.32,Cadillac,XT4,2025,38925.74,14.41,14.46,24,False,9,562,2022-05-25,2024-05-14,Paid Off,0
1030,CUST00001031,75571.19,Chevrolet,Impala,2023,23637.58,17.84,16.85,24,True,11,471,2021-11-19,2023-11-09,Paid Off,0
1033,CUST00001034,85898.38,GMC,Sierra 3500HD,2022,85318.86,4.76,4.52,36,False,29,747,2022-01-24,2025-01-08,Paid Off,0
1036,CUST00001037,33174.15,Buick,Regal,2023,16318.88,17.26,17.6,24,True,10,492,2023-02-05,2025-01-25,Paid Off,0
1057,CUST00001058,59726.38,GMC,Yukon,2024,14097.0,15.17,14.98,24,False,14,559,2023-06-25,2025-06-14,Paid Off,0
1061,CUST00001062,64204.62,Chevrolet,Traverse,2022,21499.95,12.64,14.02,84,False,40,621,2025-07-25,2032-06-18,Default,1
1067,CUST00001068,48530.51,Chevrolet,Corvette,2023,26907.4,14.81,14.82,24,False,16,339,2023-05-15,2025-05-04,Paid Off,0
1068,CUST00001069,110713.01,Cadillac,Escalade ESV,2024,77544.22,14.81,17.04,24,False,17,630,2023-02-05,2025-01-25,Paid Off,0
1069,CUST00001070,84510.25,Cadillac,XT4,2023,47094.07,5.32,6.67,84,False,44,743,2021-11-12,2028-10-06,Paid Off,0
1076,CUST00001077,62712.98,Buick,Regal,2025,27755.54,7.79,8.82,24,False,20,667,2023-10-10,2025-09-29,Paid Off,0
1079,CUST00001080,112880.1,GMC,Sierra 1500,2022,69470.36,12.67,11.78,24,True,15,631,2022-09-15,2024-09-04,Paid Off,0
1084,CUST00001085,96109.84,Chevrolet,Silverado 1500,2023,49708.66,11.53,12.67,48,True,38,611,2025-05-19,2029-04-28,Default,1
1089,CUST00001090,57620.02,Buick,Encore GX,2024,12238.01,18.11,20.89,36,True,15,495,2022-04-16,2025-03-31,Paid Off,0
