annual_income,loan_amount,loan_term_months,credit_score,target
109993.87,70277.35,60,634,0
50809.96,22306.64,72,468,0
29610.94,14136.31,24,519,0
85637.02,37767.7,36,541,0
102809.15,37563.28,36,562,0
55535.83,23465.71,48,509,1
75003.9,48514.12,72,730,0
93495.03,48498.14,36,513,1
102326.48,20835.39,48,598,0
71209.35,28991.37,84,443,0
42854.58,9002.42,24,367,0
59328.67,23194.15,36,686,0
95600.34,39930.21,24,633,0
25525.3,8202.78,36,376,0
34863.59,14485.78,36,432,0
30543.62,15133.49,48,408,0
110131.17,63518.79,36,809,1
39985.99,22357.07,60,408,1
39929.46,24322.11,48,540,1
25084.52,8397.99,24,372,0
71753.44,19478.24,36,587,0
76352.99,58304.17,36,616,0
53399.33,26205.5,72,463,1
105024.5,65422.45,72,829,1
44840.39,20227.01,36,382,1
112815.98,70859.0,24,830,0
106009.81,40026.63,24,639,0
55283.08,30009.29,24,659,1
114387.54,73575.33,24,768,1
27239.88,15713.78,24,443,0
48722.99,10793.48,72,419,1
76943.48,37902.6,24,511,0
105083.8,70280.22,24,823,0
68174.43,42854.39,36,722,0
51031.94,20975.15,24,604,0
65807.99,56159.74,24,695,0
67045.85,30089.18,84,443,1
34052.42,18877.42,36,411,0
28319.23,17142.04,24,539,0
64789.91,16779.51,60,556,1
28605.32,11293.38,24,486,0
57289.97,21978.91,48,416,1
42603.56,25481.55,24,600,0
79103.44,16713.41,36,545,0
62047.12,39326.68,24,727,0
113220.1,44924.89,84,517,1
88109.7,88206.61,24,769,0
113011.15,69116.65,24,752,0
80862.89,74226.12,24,775,0
35058.03,12240.11,60,419,0
80939.2,30748.94,84,611,1
49588.95,24494.17,48,428,0
31152.84,13337.96,24,458,0
97336.4,47570.7,72,532,1
88077.19,56415.25,36,748,0
90765.32,39936.06,36,697,0
85321.4,79826.36,24,758,0
102441.91,62252.63,36,828,0
117942.81,77010.69,72,816,1
108130.01,84054.06,24,728,0
93375.42,57399.78,24,574,0
38397.33,29401.85,24,636,0
75618.07,42948.53,24,663,0
112291.85,48743.6,24,673,0
55196.75,27648.19,72,526,1
113298.71,57583.27,36,621,1
80172.34,71973.77,72,799,1
84783.45,61418.29,36,689,0
107346.12,68092.24,36,824,0
39678.34,16372.19,60,410,1
30216.39,19226.21,48,587,0
101672.25,48000.81,24,540,0
99733.4,83875.88,36,827,0
60098.27,34341.82,72,667,0
60309.55,25142.46,60,509,0
95848.09,83040.53,60,726,0
100402.42,87562.36,36,653,0
48632.39,19069.4,36,476,0
94943.34,65437.14,36,657,0
96398.56,70861.47,24,705,0
93452.42,88439.18,36,813,0
70861.94,40256.77,72,528,0
25188.39,9727.74,36,562,0
119114.18,75110.67,24,701,0
40682.63,18986.87,60,312,0
78391.84,33527.48,72,571,0
52854.3,29069.99,48,671,0
91712.2,54556.85,24,836,0
100807.48,34544.17,84,535,1
80592.84,33803.1,72,692,1
104819.04,22492.43,60,584,1
88648.54,73988.94,24,799,0
64040.67,28375.12,36,477,0
115709.79,68888.24,48,779,1
77570.64,30340.09,60,492,0
59564.48,62580.75,84,700,0
108057.92,74952.45,84,630,0
57640.78,21810.43,84,442,1
72300.41,31855.01,24,424,0
68796.37,49729.95,24,647,0
31729.31,10076.67,48,636,0
45084.3,17385.59,48,351,1
70892.07,36344.1,24,653,0
117135.46,56264.07,48,566,0
114557.06,68837.6,24,750,0
75144.55,57617.22,60,734,1
107887.72,84706.63,36,813,0
26466.91,5806.8,24,447,1
110065.77,31755.22,24,509,0
29853.44,23223.57,36,643,0
118300.44,66949.32,36,777,0
99186.38,54247.36,24,798,0
59249.03,34347.35,24,605,0
56351.82,53832.85,48,715,0
69515.7,28140.5,24,491,0
28343.61,16317.24,24,385,0
56444.78,24685.94,48,463,0
104125.3,74575.73,72,631,1
33426.11,10550.7,60,342,0
26368.59,11385.91,24,506,0
99755.86,71793.09,24,847,0
47880.57,23397.25,72,340,0
54301.39,54962.89,48,746,1
72917.62,41942.93,36,460,1
36134.91,20480.11,36,368,1
80155.12,39631.87,24,708,0
100765.07,60164.61,24,776,0
65408.3,13703.76,48,560,1
27169.97,5602.79,24,469,0
77493.69,22415.21,24,405,0
69655.88,48074.89,72,697,1
56360.15,28016.58,72,560,1
65097.65,15721.89,48,554,0
76872.03,70604.69,24,703,0
113799.48,89205.0,36,742,0
44199.75,20299.77,36,406,0
71219.94,39631.58,36,601,0
103557.19,78346.82,24,778,0
83856.75,29596.08,24,607,1
62872.64,19931.03,24,538,0
39318.13,19286.35,24,505,0
84655.99,66286.14,24,843,0
47392.79,16572.08,60,553,1
87011.68,88003.27,24,839,0
100933.93,43604.1,36,653,0
32107.32,15527.57,72,339,0
107605.47,32497.66,24,633,0
83649.62,41822.83,36,589,0
51394.45,53691.65,36,749,1
99106.07,56899.26,24,637,0
53169.45,12643.95,48,407,1
53637.24,22152.15,24,660,0
37386.89,19163.58,72,371,0
32294.36,7470.95,24,399,0
102222.46,21139.06,24,505,0
118818.91,85065.1,24,843,0
92510.9,39893.89,24,672,0
69233.27,19879.02,36,581,0
49606.39,22955.63,48,357,1
70678.18,26965.46,84,474,0
102017.88,58990.29,36,728,0
77985.26,21658.25,24,542,0
73415.02,35926.35,24,613,0
60300.78,48026.21,36,735,1
109972.11,68327.54,24,808,0
28928.88,9220.32,36,509,0
35765.12,16822.45,48,443,1
33568.72,9562.2,24,313,1
28535.4,6226.33,72,467,1
84805.29,50938.23,24,812,0
117988.76,66713.63,24,753,0
27089.16,7556.29,36,458,0
33495.56,7202.44,36,507,0
75647.7,22068.77,72,630,0
92965.57,57476.94,24,825,0
85292.87,63250.38,72,776,1
108710.06,77372.81,36,844,1
49335.15,25788.95,60,574,0
28480.75,12417.9,36,343,0
87433.44,52005.56,24,608,0
78221.02,31513.69,24,596,0
70135.93,16438.62,24,421,0
107402.49,89432.43,24,783,0
61881.71,62614.52,36,691,0
107923.23,65008.23,36,699,1
75295.72,85859.31,48,700,0
54917.27,57579.73,36,684,0
66106.51,36018.41,36,684,0
64540.33,22062.29,84,604,1
28398.86,6129.87,48,371,0
105278.84,37523.31,24,608,0
102863.88,73346.13,36,789,0
25294.49,8991.04,24,637,0
66055.67,50606.16,24,613,0
75985.08,40085.11,48,587,0
101723.03,67105.07,24,656,0
57576.88,69021.51,84,706,0
91759.05,80922.97,36,808,0
64562.46,18377.21,84,566,0
65968.96,19296.89,60,529,1
80325.69,81418.75,60,778,0
76444.97,83252.46,24,738,0
116633.13,79104.88,60,666,0
85300.91,67147.89,48,688,0
111937.12,81726.38,84,756,1
50625.9,32524.95,72,749,0
82738.1,40315.43,84,502,1
29262.73,7833.42,24,431,0
52946.6,45761.77,36,682,0
43349.9,46207.47,24,650,0
100054.33,56409.7,72,756,0
32280.59,13417.51,24,637,0
64499.5,16889.9,36,461,0
99473.65,59434.72,84,811,1
113801.53,76062.14,36,634,0
88377.58,59463.43,24,627,0
29804.47,13289.43,24,347,0
70391.04,44009.94,60,560,1
28850.23,12899.96,24,512,0
63601.72,45777.4,24,649,0
96854.15,60183.93,24,656,0
26721.35,12919.43,60,377,0
65507.54,21670.28,24,408,0
106372.69,87769.1,24,680,0
82671.65,29216.36,36,643,0
51194.93,14371.35,24,506,0
62416.98,62394.97,24,676,0
103901.18,25629.89,60,593,1
101798.95,75800.57,36,682,0
48965.53,11856.56,24,459,0
105031.06,60887.96,60,646,0
86993.37,42935.38,24,610,0
76906.72,39898.08,36,589,0
118039.1,47833.47,84,529,1
103080.61,70837.57,24,791,0
94004.88,34496.34,84,607,0
42110.97,15722.3,36,467,1
66155.8,27857.29,24,696,0
73928.11,50070.65,36,700,0
63249.32,40036.74,72,568,0
78657.74,69150.54,48,692,1
27288.05,10016.69,24,397,0
107795.13,57171.69,84,561,1
115061.1,56787.78,24,621,1
32040.19,6618.92,24,558,0
62146.86,29640.72,24,744,0
95493.81,64152.19,24,842,0
74400.97,39249.45,72,441,1
73664.98,55043.59,48,632,0
64885.07,23636.21,84,598,1
100933.39,71504.95,24,723,0
88147.51,77989.15,24,838,0
77352.53,64726.85,24,673,0
101048.51,79672.04,36,718,0
69600.09,20486.25,24,417,0
43813.34,24636.35,72,582,1
40191.38,9063.0,24,541,0
88109.43,40592.29,48,675,1
109247.33,32916.29,24,642,0
64265.65,28577.3,72,564,1
114267.27,74807.17,24,797,0
53751.85,21171.55,24,674,0
57885.3,29713.08,84,709,1
67253.53,22429.02,24,422,1
84044.76,27225.36,72,513,1
61492.99,24372.25,36,673,0
108788.09,46896.76,84,540,1
29436.64,16962.17,36,432,0
44424.03,9391.02,24,402,1
36582.8,15275.68,84,570,0
68186.34,38190.44,36,707,1
82602.4,25649.84,48,581,0
56661.14,29809.66,24,626,0
62566.99,30548.93,60,554,1
83637.01,56323.46,36,639,0
63955.19,21090.24,36,572,0
111928.35,48316.76,24,661,0
119018.66,76284.54,48,691,1
46403.6,15264.51,60,371,1
112875.89,64618.56,24,787,0
46261.04,19189.67,36,573,1
84407.99,64260.56,24,635,0
55384.18,19103.25,48,442,0
112498.6,66843.01,60,710,0
104401.54,63313.74,24,833,0
85803.3,51988.54,48,603,1
87801.4,44822.88,36,604,0
106696.15,25450.35,24,564,0
88300.12,73578.91,48,847,1
64567.95,27835.01,60,518,0
63497.79,14468.1,24,486,0
104833.97,25125.67,24,560,0
96552.73,87048.93,48,699,0
97573.89,41352.55,72,567,0
41626.31,15074.6,36,553,0
54478.27,25402.86,72,518,1
47398.6,14772.67,60,416,1
111078.48,64197.14,24,615,0
97669.78,39618.12,24,691,0
89631.28,51820.56,48,520,1
99559.0,86274.53,24,680,0
96696.09,55790.39,24,723,0
55888.43,27315.71,84,541,1
81174.48,53184.76,36,736,0
100118.19,77099.83,24,678,0
61625.44,16696.04,36,414,0
66094.6,39055.53,24,434,0
110412.29,45871.66,60,511,0
119514.15,30445.02,60,568,0
80292.71,41938.83,24,629,0
92618.59,27243.51,36,532,0
52572.52,23232.5,24,669,0
91399.77,49490.29,48,666,0
117798.7,54977.57,24,576,0
36169.73,13669.55,24,473,0
99085.95,76494.4,24,667,0
57931.09,26431.63,24,437,0
93290.65,47727.99,24,513,0
83447.18,89444.36,60,697,0
60229.42,38855.48,24,610,0
102880.55,34599.28,84,525,0
91898.96,56036.73,72,744,0
60717.97,34495.57,36,639,0
75029.66,35911.01,24,610,0
113553.03,63247.45,24,769,1
34101.22,11278.73,24,423,0
55550.16,20212.34,60,478,0
27061.77,9136.92,36,642,1
72628.01,29417.29,24,658,0
30379.65,11270.39,24,456,0
115583.44,87850.2,72,659,0
81530.76,44075.36,36,751,0
109443.5,63738.33,60,666,0
101277.27,47560.04,36,503,1
47081.22,11228.22,36,584,0
44327.88,23277.25,60,437,0
33156.24,15442.93,84,484,0
86424.43,61240.32,84,794,1
89496.86,53981.66,72,730,1
86906.68,83048.66,36,707,0
51168.18,31251.8,36,651,0
86606.93,86527.74,24,823,0
43908.91,20008.89,24,476,0
74154.57,17139.67,72,505,0
85999.11,50089.89,84,580,1
109293.31,54775.43,24,643,0
85190.8,64824.85,48,716,0
30917.29,8100.66,36,338,1
28381.59,9943.86,84,372,1
40847.63,19486.7,36,415,0
83614.37,75370.22,84,683,0
77828.59,73278.45,24,699,0
36585.8,11238.55,60,618,1
89561.59,71718.14,24,807,0
73178.96,37873.19,48,444,1
39291.03,11004.99,36,574,1
72896.34,36442.48,84,528,1
50743.6,63830.35,60,715,1
83728.91,43291.4,36,673,0
35744.73,20752.49,84,486,1
44354.03,18887.99,72,532,1
43247.31,16823.62,24,407,0
99587.31,33183.59,24,550,0
105321.71,21898.59,24,563,0
33220.23,13656.84,72,478,0
81164.62,71143.89,36,774,0
68378.45,36564.53,48,430,0
27007.97,8115.35,24,389,0
113646.65,79557.8,36,636,0
110694.8,79646.11,36,822,0
45056.08,20330.25,48,357,1
67060.02,24671.86,36,493,0
54884.14,12186.36,24,591,0
47262.86,13567.24,72,353,0
66096.42,32132.09,24,482,0
90937.44,55429.84,24,784,0
39749.49,18984.88,48,504,0
73834.2,68369.56,24,669,0
64824.73,18678.06,48,416,1
100558.52,27779.16,36,619,0
117142.85,55204.59,36,699,0
40016.2,8839.58,72,420,1
106755.61,73836.42,36,743,0
65158.84,80360.79,84,715,0
96872.47,25668.8,24,508,1
39645.34,23104.85,48,648,0
33402.14,18534.37,24,475,0
85837.85,58266.16,24,845,0
69693.4,71292.79,36,730,0
76485.6,77824.15,24,734,0
84548.14,86273.7,24,771,0
65458.87,31494.51,24,532,0
38572.35,21929.07,24,477,0
99736.52,70409.85,36,820,0
109680.94,69318.29,36,763,0
66115.9,34590.31,36,524,0
75612.59,39152.72,36,619,0
83110.2,54792.15,84,828,1
27525.83,12809.86,36,458,0
72686.88,35215.92,24,498,0
42316.12,18786.0,24,431,0
53566.05,29925.18,24,453,1
101738.25,80707.84,24,799,0
26626.1,6342.04,24,498,0
94996.96,74807.78,24,819,0
119514.63,60327.63,36,515,0
94011.94,87008.79,36,729,0
94874.19,42177.89,36,604,0
97006.17,75841.3,36,738,0
43005.87,17427.56,36,400,0
30519.08,7040.17,48,308,1
83242.92,54043.7,84,719,1
40696.0,13380.91,24,302,0
29448.97,16317.21,36,521,0
114817.39,80211.85,24,818,0
43488.06,18427.88,24,449,0
97765.4,72413.14,36,654,1
86968.6,60136.06,24,750,0
89406.12,75246.61,84,839,1
94757.0,36319.45,36,579,1
81411.82,78991.06,24,837,0
36029.95,16471.55,48,544,1
65095.78,18778.47,72,505,0
100934.18,28883.5,36,510,0
43160.09,19216.39,72,455,0
54498.83,22390.71,24,532,1
86606.22,19629.41,60,557,1
74381.74,56765.96,72,657,1
52914.69,22371.98,36,559,1
94530.4,89383.43,72,662,0
91373.71,66974.29,36,797,1
65650.73,86454.24,72,731,0
66169.63,32140.07,60,679,0
116876.58,86339.56,24,807,1
104631.88,37732.66,36,578,0
44128.6,13120.77,24,569,0
88400.21,35805.59,36,519,0
58448.63,24224.95,48,440,1
42936.47,14509.32,24,415,0
29547.81,9345.09,36,368,0
67536.88,32384.33,48,481,0
104264.99,56347.69,36,505,0
81835.45,36820.36,24,532,0
76295.29,63503.97,24,700,0
98567.78,48091.61,36,653,1
29424.46,13382.09,60,315,0
90132.55,53398.65,36,578,0
34930.41,7739.8,60,345,0
34965.32,13715.77,24,599,0
45790.58,13521.82,36,564,0
77719.73,33984.58,60,457,0
87032.53,29844.17,24,684,0
87446.02,24946.81,24,541,0
84799.1,25335.35,72,556,1
43544.11,17848.13,60,526,1
82560.33,39388.12,24,506,0
77090.68,48975.99,24,545,0
39343.14,10466.78,36,461,0
47097.13,14991.18,36,436,0
97615.52,60311.12,24,775,0
70395.63,33184.96,72,622,0
51769.02,27182.62,36,564,0
63790.71,15372.74,24,496,0
58810.46,27280.21,72,461,1
93931.31,53990.11,36,552,0
96024.64,27991.51,36,512,0
115999.05,54239.56,60,653,1
43121.74,12354.53,36,414,0
74639.75,29698.67,36,496,1
89620.41,71954.11,24,824,0
39198.0,16951.55,36,464,0
97920.56,39187.07,24,590,0
87010.6,86214.51,24,719,0
57723.56,35633.77,36,611,0
46565.76,27384.32,72,407,1
109562.31,60453.99,24,770,0
97057.38,21298.71,24,574,0
34783.27,7723.24,24,536,0
38592.62,22270.56,84,624,1
108730.73,32610.6,72,622,1
58444.78,37404.57,24,706,0
92050.02,60546.56,24,731,0
75701.13,28635.24,24,520,1
80434.71,53121.39,24,641,0
94398.01,22287.5,60,577,0
34433.8,13104.39,36,333,0
25120.75,10926.87,24,513,0
40174.8,18852.91,60,580,1
70553.37,64302.19,24,677,0
60684.72,24644.6,24,572,0
48893.15,30833.51,60,432,1
114686.08,78702.48,36,807,0
78524.87,69487.93,60,683,0
102053.08,33903.12,60,647,1
46111.82,24058.56,60,540,0
63300.65,31713.97,36,668,0
116707.55,67454.2,36,606,1
61492.84,22862.34,24,547,0
82273.51,50668.08,36,800,0
89049.51,31815.33,60,554,1
68399.78,28163.18,48,541,1
95993.09,38193.67,24,512,0
99271.42,23761.49,24,564,0
72174.08,40125.0,24,456,0
69026.95,82271.7,36,723,0
111394.65,32678.64,48,633,1
37367.63,19451.05,36,349,0
114422.22,70750.72,72,846,0
55343.31,55266.92,24,674,0
112720.88,74863.83,84,744,0
51433.24,56891.94,24,707,0
71342.0,33401.04,24,678,0
39270.96,11324.68,84,525,0
48233.05,17179.99,84,476,1
109240.84,58948.97,36,718,0
57661.97,36349.12,72,741,0
47557.58,29445.54,72,322,1
84912.93,86381.11,36,706,0
40996.63,13269.35,24,354,0
103801.15,72114.78,60,722,1
108019.19,51160.22,48,745,1
32043.88,7542.72,60,400,0
32231.74,19291.39,36,389,0
39734.64,12037.27,36,631,1
33084.76,11931.37,48,376,1
49252.53,24860.66,72,487,1
47791.21,23342.33,24,304,0
112593.96,47835.24,24,513,0
113550.86,46297.43,72,559,1
78782.28,17389.09,48,518,1
58970.96,24582.23,72,574,0
82166.16,55329.49,36,785,0
27541.31,13987.91,36,504,0
43894.11,12640.98,24,640,0
110807.42,73083.49,24,782,0
93098.2,62787.69,84,838,1
46484.5,25215.96,60,341,0
69463.38,25877.16,24,596,0
47404.02,10347.56,36,573,1
47366.88,27770.2,24,304,0
73217.6,41894.25,60,689,0
108856.78,36666.75,48,536,1
66650.67,15585.58,24,414,0
84250.13,48841.46,36,605,0
57861.94,32150.42,36,491,0
44002.05,20033.23,48,504,1
66664.47,63348.11,24,652,0
63951.04,68832.74,60,659,0
107623.62,81924.19,24,728,0
98429.42,25733.55,36,561,0
84678.39,54631.02,72,819,1
76553.34,36607.88,24,681,1
101039.53,62124.84,48,746,0
103214.63,73236.59,72,748,1
93922.2,61744.38,24,610,0
28790.82,9188.97,24,570,0
85204.88,43017.45,36,520,0
78149.15,37729.85,36,435,0
51402.37,35463.94,36,624,0
104582.9,83066.46,48,683,0
45819.16,16945.9,24,475,0
58302.81,32711.34,24,526,0
34417.57,16394.59,72,586,0
56915.5,27718.42,24,612,0
92142.9,22386.44,24,552,0
34034.67,19420.59,24,455,0
99696.38,57772.16,24,696,0
38073.88,11009.41,24,305,0
65502.37,68621.78,36,665,0
60299.11,14215.26,72,544,0
82745.5,86017.3,24,811,0
96790.97,52617.85,60,503,0
34281.14,8056.94,24,559,0
81758.05,75142.48,24,761,0
75350.5,74195.25,36,715,1
25308.49,11755.17,24,417,0
26787.28,15557.97,24,363,1
37666.93,22850.14,48,534,1
46065.62,13448.43,24,368,0
51501.81,70019.22,24,750,0
89367.06,51242.48,24,758,0
44281.49,23443.41,24,311,0
49386.13,19381.08,36,388,1
55462.4,23540.99,24,640,0
78902.17,89345.76,36,716,1
103904.14,87581.91,24,734,0
66349.1,49219.05,24,735,0
73812.66,56387.78,60,662,0
99837.37,24839.05,84,500,1
89308.93,18824.47,36,598,0
88152.42,40966.41,36,524,0
109090.84,62212.87,36,781,0
46092.38,23890.82,36,643,0
56451.77,14025.42,60,436,1
28900.8,12784.64,24,353,0
45695.4,16514.95,36,390,0
34894.29,12547.8,24,625,0
91755.7,40038.89,24,682,0
70159.53,23031.19,24,560,1
106775.44,79429.61,36,737,1
52329.74,34513.66,48,659,0
84924.06,89463.79,36,729,1
86739.5,88260.65,24,778,0
65429.58,34374.08,24,527,0
33547.79,8898.32,72,631,0
94381.27,37607.19,24,663,0
67919.5,27550.04,36,438,0
118690.38,68734.51,24,764,0
85403.15,75736.75,24,752,0
110496.3,62618.58,24,535,0
26744.57,6639.68,72,522,0
25142.2,11355.12,24,408,0
105169.23,65912.97,84,835,1
54543.26,30702.69,60,419,1
91912.52,89161.8,36,758,0
74741.24,36059.65,72,664,1
33656.03,9648.78,72,552,0
36322.8,18062.98,24,451,0
52001.02,24931.13,48,551,0
49078.76,11724.84,60,341,1
56440.02,20532.66,24,554,0
87932.75,41461.68,36,706,0
40751.94,10400.4,36,412,0
53184.12,39475.08,72,605,0
106063.23,63292.95,36,753,0
36751.27,11918.32,24,544,0
62146.32,22005.48,84,520,1
107277.99,37069.41,48,513,1
58534.67,20085.18,24,503,0
64832.98,20578.58,48,485,0
75555.94,22235.78,36,578,0
96254.74,59777.43,36,845,0
37583.61,10715.67,24,619,0
109708.26,78886.86,24,805,0
51089.29,27492.17,36,479,0
63529.67,26676.66,24,596,0
51506.92,28318.95,24,462,1
62397.32,69286.82,48,702,0
115159.4,89231.67,36,779,0
114623.18,74380.62,36,847,0
60657.48,36432.31,48,566,1
72186.48,37352.01,36,739,0
109671.76,62590.31,36,791,0
110621.27,48844.92,36,547,1
37579.22,21969.31,72,330,1
105331.11,66548.51,24,535,0
38058.82,19513.82,84,447,1
